status	name	city	state	website	address	evidence
NET-NEW	Brave BJJ Boise	Boise	ID	https://www.brave-bjj.com	8707 W State St, Boise, ID 83714	Body header and footer both read 8707 W State Street Boise ID 83714, founders Collin and Brittney Davey, Brave Brazilian Jiu-jitsu LLC. ZIP 83714. Occupies the former Eagle Brazilian Jiu Jitsu Academy space
NET-NEW	The PIT Idaho	Boise	ID	https://www.thepitidaho.com	10 S Cole Rd, Boise, ID	Pit Martial Arts and Fitness, body Jiu Jitsu Boise page names owner and black belt head coach Cruz Gomez, contact info block 10 S Cole Rd Boise ID and phone 208-991-0768. Site prints ZIP as 93709 which is a typo for Boise 83709, 208 area code confirms Idaho
NET-NEW	Alliance Jiu Jitsu East Boise	Boise	ID	https://www.allianceboise.org	880 S Vista Ave, Boise, ID 83705	Alliance locations page body lists two Idaho sites, East Boise Location 880 S Vista Ave Boise ID 83705 with Mon-Fri 7am-7pm hours, phone 208-639-9198. Led by Alliance co-founder Alexandre Gigi Paiva. ZIP 83705
NET-NEW	Alliance Jiu Jitsu Eagle	Eagle	ID	https://www.allianceboise.org	195 S Wooddale Ave, Eagle, ID 83616	Same locations page body lists Eagle Location 195 S Wooddale Ave Eagle ID 83616 with its own hours. Note the site footer misprints this as Boise ID 83161 which is not a valid ZIP, the locations page body is the correct reading. Phone 208-639-9198
NET-NEW	Battles Jiu Jitsu	Eagle	ID	https://www.battlesjiujitsu.com	220 S Herons Flight Ln 103, Eagle, ID 83616	Body headline Jiu-Jitsu in Eagle ID, Come visit us block gives 220 S Herons Flight Ln 103 Eagle ID 83616, located near Highway 16 and State St Hwy 44 next to Eagle Christian Church. Husband and wife team with law enforcement background. ZIP 83616
NET-NEW	The Base Jiu Jitsu Boise	Meridian	ID	https://jiujitsuboise.com	2640 E State Ave STE 110, Meridian, ID 83642	Body reads premier Jiu Jitsu academy in Meridian Idaho and oldest BJJ school in Treasure Valley, owner BJ Buttars, contact block 2640 E State Ave STE 110 Meridian ID 83642 and phone 208-629-7658. Brands as Boise, physically in Meridian. ZIP 83642
NET-NEW	Gracie Barra Meridian	Meridian	ID	https://graciebarrameridian.com	68 East Fairview Ave, Meridian, ID 83642	Body Get In Touch and Location blocks both read 68 East Fairview Ave Meridian Idaho 83642, phone 208-886-5972, head professor Scott Carr. One embedded map image references 1600 N Main St unit b Meridian, the stated text address is 68 E Fairview. ZIP 83642
NET-NEW	System Jiu-Jitsu	Meridian	ID	https://systemjiujitsu.com	735 N Ralstin St, Meridian, ID 83642	Body headline World Class Jiu-Jitsu Meridian Idaho, No-Gi focused, founders Jacen Flynn and Nick Kugelman, black belts under Craig Kukuk. Contact block 735 N Ralstin St Meridian ID 83642 and phone 208-941-6704. ZIP 83642
NET-NEW	Atlas Jiu Jitsu	Meridian	ID	https://atlas-jiujitsu.com	2932 N Eagle Rd 101, Meridian, ID 83646	Body header and footer both read Located in the mecca gym 2932 N Eagle Rd 101 Meridian ID 83646, phone 208-996-1400, head instructor Chase Riddick, lineage through the late Keith Owen and Pedro Sauer. ZIP 83646
NET-NEW	JG Academy Meridian	Meridian	ID	https://www.jgacademy.net	53 E Calderwood Dr Ste 120, Meridian, ID 83642	Aspire To Inspire Jiu-Jitsu affiliate. Site meridian page returned no rendered body via fetch, address and phone 208-918-4228 corroborated across multiple independent Meridian listings. Meridian ID 83642, 208 area code. HELD AS PARTIALLY VERIFIED, no page body read
NET-NEW	Gem State Jiu Jitsu	Kuna	ID	https://gemstatejiujitsu.com		Own domain, page title and description read Gem State Jiu Jitsu BJJ Academy in Kuna Idaho offering gi no-gi and kids classes. Site is JS-rendered and returned no body text, so no street address confirmed. Kuna ID 83634. HELD AS PARTIALLY VERIFIED, no page body read
NET-NEW	Core Jiu Jitsu	Nampa	ID	https://corejjidaho.com	1124 1st St S, Nampa, ID 83651	Body reads BRAZILIAN JIU JITSU LOCATED IN DOWNTOWN NAMPA IDAHO and Located in the heart of downtown nampa 1124 1st st S nampa id 83651, serves Nampa Caldwell Meridian. ZIP 83651
NET-NEW	Sidekicks MMA and Snake River Jiu Jitsu	Nampa	ID	https://sidekicksmartialarts.weebly.com	16083 Franklin Blvd Suite 4, Nampa, ID 83687	Own contact page body gives 16083 Franklin Blvd Suite 4 Nampa Idaho 83687 with phones 208-463-9999 and 208-608-0914. Teaching Muay Thai Kickboxing Jiu-Jitsu MMA and self defense in Nampa since 1994. Third party listings show a newer address at 1205 11th St S Nampa, address may have moved. ZIP 83687
NET-NEW	Gracie Barra Caldwell	Caldwell	ID	https://graciebarra.com/id-caldwell	708 Main St Suite 1a, Caldwell, ID 83605	Gracie Barra school page body repeats 708 Main St Suite1a Caldwell ID 83605 four times with full weekly hours and phone 208-202-5223, Premium School badge. ZIP 83605
NET-NEW	Idahome Jiu-Jitsu	Caldwell	ID	https://idahomejiujitsu.com	2922 Cleveland Blvd Ste 600, Caldwell, ID 83605	Body reads family and veteran-owned BJJ gym in Caldwell, founded 2024 by Ryan Chroninger, black belt under Sam Campanella. Contact block 2922 Cleveland Blvd Ste 600 Caldwell ID 83605 and phone 208-631-2118, located at Century Square. ZIP 83605
NET-NEW	Studio 671 Jiu Jitsu	Caldwell	ID	https://studio671jiujitsu.com	1322 Lauren Lane Suite 101, Caldwell, ID 83605	Body reads Based in Caldwell Idaho, our Brazilian Jiu Jitsu academy, and both the map block and footer give 1322 Lauren Lane Suite 101 Caldwell Idaho 83605 with phone 208-960-9968. ZIP 83605
NET-NEW	Vital Brothers Brazilian Jiu Jitsu	Mountain Home	ID	https://vitalbrazilianjiujitsu.com	1250 Sunset Strip, Mountain Home, ID 83647	Body banner and Contact Us block both read 1250 SUNSET STRIP MOUNTAIN HOME ID, describes nearly 4000 sq ft of mat space and a second facility being added, lineage Carlos Gracie to Renan Vital to Prof JP. Mountain Home ID 83647. Phone shown is 253 area code but address is Idaho
NET-NEW	Jiu-Jitsu 100 Academy	Hailey	ID	https://jiujitsu100.com	111 S Main St, Hailey, ID 83333	Body mission text says excited to bring that to Hailey Idaho, started 2020 in Ketchum then expanded, School Info footer gives 111 S Main St Hailey ID 83333. Serves Wood River Valley. ZIP 83333
NET-NEW	Pocatello Jiu Jitsu	Pocatello	ID	https://pocatellobjj.com	777 Yellowstone Ave Suite D, Pocatello, ID 83201	Body reads female-owned family-run Jiu Jitsu school in Pocatello, owners Catalina and Michael Mojarro took over in 2022, Contact Us block gives 777 Yellowstone Ave Suite D Pocatello ID 83201 and phone 208-604-7629, across from Fred Meyer. ZIP 83201
NET-NEW	Colossal Fight Company	Pocatello	ID	https://www.colossalfightcompany.com	300 N 5th Avenue, Pocatello, ID 83201	Body address block reads 300 North 5th Avenue Pocatello ID 83201 with phone 208.840.0766, plus directions naming Lander Street. Focuses heavily on grappling including Brazilian jiu jitsu and judo. ZIP 83201
NET-NEW	Blackfoot Jiu Jitsu and Fitness	Blackfoot	ID	https://blackfootjiujitsu.com	1010 W Bridge Street Suite F, Blackfoot, ID 83221	Body reads Bingham County's number 1 source for Brazilian Jiu Jitsu NoGi Submission Grappling and Self Defense, address block 1010 W Bridge Street Suite F Blackfoot ID 83221 and phone 2084036807. ZIP 83221
NET-NEW	Vibe Jiu Jitsu and Grappling Arts	Idaho Falls	ID	https://www.vibejiujitsu.com	1808 E Piper St 1, Idaho Falls, ID 83401	Body address block reads 1808 E Piper St 1 Idaho Falls ID 83401 with driving directions from N Yellowstone Hwy, four named black belt instructors, Pedro Sauer Brazilian Jiu-Jitsu Association page in nav. ZIP 83401
NET-NEW	PAC Jiu-Jitsu	Rexburg	ID	https://pacjiujitsu.com		Own domain, page title and description read PAC Jiu-Jitsu in Rexburg Idaho, structured Gi and No-Gi classes, 36-lesson fundamentals program. Site is JS-rendered and returned no body text, so no street address confirmed. Rexburg ID 83440. HELD AS PARTIALLY VERIFIED, no page body read
NET-NEW	SBG Teton Valley	Driggs	ID	https://www.sbgtetonvalley.com	528 Valley Centre Dr 1, Driggs, ID 83422	Body reads Straight Blast Gym Teton Valley, Brazilian Jiu Jitsu and Kids Jiu Jitsu, FIND US AT 528 Valley Centre Dr 1 Driggs ID 83422. Driggs is Teton County IDAHO, ZIP 83422, not Jackson Wyoming
NET-NEW	BPi Fighting Systems	Coeur d'Alene	ID	https://www.bpifight.com	1917 North Lakewood Drive, Coeur d'Alene, ID 83814	Body headline Experience The Difference at BPi Fight, Coeur d'Alene Idaho's Premier Jiu Jitsu Academy, Prof Jason Lambert, third degree BJJ black belt under Roy Harris. Body location text says North Idaho Physical Therapy building off Ironwood Road, street address appears in the page title and canonical. Coeur d'Alene ID 83814
NET-NEW	Gracie Jiu-Jitsu Post Falls	Post Falls	ID	https://graciepostfalls.com	414 W Seltice Way, Post Falls, ID 83854	Body repeats Post Falls throughout as a Certified Gracie Jiu-Jitsu Training Center, contacts block 414 W Seltice Way Post Falls ID 83854 and phone 208-415-1817, copyright 2026. Post Falls is IDAHO, ZIP 83854, not Spokane Valley or Liberty Lake WA which the footer lists only as service areas
NET-NEW	Gracie Barra Hayden	Hayden	ID	https://www.gbhayden.com	978 W Hayden Ave, Hayden, ID 83835	Body header and footer both read 978 W Hayden Ave Hayden ID 83835 with phone 208-462-0800, coaches Niki and Eli Brown, describes itself as a gateway to jiu-jitsu in North Idaho. Hayden is IDAHO, ZIP 83835
NET-NEW	Gracie Jiu-Jitsu Sandpoint	Sandpoint	ID	https://graciesandpoint.com	323 McGhee Rd 107, Kootenai, ID 83840	Origins Combatives trading as Gracie Jiu-Jitsu Sandpoint, body says serving all of North Idaho and Brazilian Jiu-Jitsu program in Sandpoint, Contact Us block gives 323 McGhee Rd 107 Kootenai ID 83840. Kootenai is a Bonner County IDAHO town about two miles from Sandpoint, ZIP 83840. Body also contains a stray template line referencing Seattle, address and ZIP are Idaho
NET-NEW	V7 Brazilian Jiu Jitsu and Functional Fitness	Moscow	ID	https://v7martialarts.com	872 Troy Road 180, Moscow, ID 83843	Body about page header reads 872 TROY ROAD 180 MOSCOW IDAHO 83843 with phone 208-596-4816, Prof Nicolae Cury third degree BJJ black belt. This is the MOSCOW IDAHO site, ZIP 83843 and 208 area code. V7 also runs a separate Pullman WASHINGTON location which is excluded
NET-NEW	Casa De Fera Jiu Jitsu	Moscow	ID	https://cdfjiujitsu.com	214 North Main Street Suite A, Moscow, ID 83843	Body reads Casa De Fera Club Style Jiu Jitsu, originally from Oahu Hawaii, is now open in Moscow Idaho. Contact page body gives 214 North Main Street Suite A in the Grange Building on North Main, mailing address 960 N Jefferson St Moscow ID 83843. Moscow IDAHO ZIP 83843, not Pullman WA
