verdict	region	name	city	url	action	evidence	source_url
UNVERIFIED	NS	Samson Martial Arts & Fitness	St. Peter's	(none confirmed)	NONE	Could not render any first-party page despite five attempts: facebook.com/samsonmartialarts, facebook.com/61553781494996/ (with and without a locale param), facebook.com/profile.php?id=61553781494996, and the m.facebook.com mirror all returned "This content isn't available right now." Own domain samsonmartialarts.com / www.samsonmartialarts.com both show browser error pages. Google's own index shows a cached snippet giving an address of 11 5085 Rd, St Peters, NS - but that is Google's cached text, not a page I rendered myself. Circumstantial support only: WorkHorse MMA's own instructor-bio page (read directly, see Workhorse Mixed Martial Arts row) lists "Kealan Samson" as a guest instructor, "A BJJ brown belt and instructor... BJJ team champion coach" - suggesting the Samson family does teach real BJJ - but that is not Samson Martial Arts & Fitness's own page.	https://workhorse-mma.gymdesk.com/instructors/bio/id/62500 (related, not first-party for this record)
UNVERIFIED	NS	SOB (Sprawl or Brawl) MMA	Glace Bay	https://www.facebook.com/sprawlorbrawl	NONE	IG bio (rendered): "Sprawl Or Brawl... A non profit MMA gym located in Glace Bay Nova Scotia" - no BJJ/jiu-jitsu wording. FB (rendered, main + /about): category "Martial Arts School," address 157 Commercial Street, Glace Bay, NS, Canada, B1A 3B9; the About page and reels tab carried no discipline text, and the main feed's post captions did not load as extractable text. Related first-party evidence: WorkHorse MMA's own site lists guest instructor "Ro Rochon" whose bio (read directly) says "Jiujitsu and Judo brown belt... Member of Sprawl or Brawl MMA," and Sprawl or Brawl MMA is registered on Smoothcomp/ADCC (submission grappling federation), per that directory page read directly - both support real jiujitsu training there without being Sprawl or Brawl's own explicit statement. Per the addendum's instruction to apply the BJJ test hard on generic "MMA" names, marking UNVERIFIED rather than guessing.	https://workhorse-mma.gymdesk.com/instructors/bio/id/68636 ; https://smoothcomp.com/en/club/23456
ADD	NS	Workhorse Mixed Martial Arts	Port Hawkesbury	https://workhorse-mma.gymdesk.com/	ADD	FB body (rendered): "WorkHorse MMA is a family friendly martial arts training facility in Port Hawkesbury Nova Scotia." Address: 2 Macintosh Avenue, Unit 2, Port Hawkesbury, NS, Canada, B9A 3J5. BJJ confirmed on the school's own site (workhorse-mma.gymdesk.com), read directly on instructor bio pages: Kealan Samson - "A BJJ brown belt and instructor. MMA coach, Muay Thai coach, BJJ team champion coach"; Ro Rochon - "Jiujitsu and Judo brown belt."	https://www.facebook.com/profile.php?id=61584652108279
ADD	NS	Marmac Athletics	Truro	https://www.facebook.com/marmacathletics	ADD	FB body (rendered): "Recreational Kickboxing - Brazilian Jiu Jitsu - Qualified Professional Coaching - Amateur and Professional - Sparring (members and associated clubs)." Address: 36 Inglis Street, Truro, NS, Canada, B2N 4B4.	https://www.facebook.com/marmacathletics
ADD	NS	Porters Lake Brazilian Jiujitsu	Porters Lake	https://www.facebook.com/averageday	ADD	Resolves the Marmac/Porters Lake conflation: this is a distinct business from Marmac Athletics (Truro). FB page (facebook.com/averageday), rendered directly, shows the display name and handle as authored by the business itself: "Porters Lake Brazilian Jiujitsu... porterslakebjj... Always never say no to Jiujitsu." Address field read: "5775 trunk 7" (no separate city string beyond the business's own name). Nothing on the page ever reads "Mountain Jiu-Jitsu" - settling the ambiguous input name in favor of "Porters Lake Brazilian Jiujitsu."	https://www.facebook.com/averageday
ADD	NS	Manimal Athletics Training Center	Lucasville	https://www.facebook.com/ManimalTraining	ADD	FB body (rendered): "Personal Training. Group Classes. Nutrition. Athletic Development. Bootcamp. Muay Thai. BJJ." Address: 495 Lucasville Road, Lucasville, NS, Canada, B4B1R8. Own domain manimalathletics.com currently errors out, but the FB page links to it (manimalathletics.com) as the official site.	https://www.facebook.com/ManimalTraining
ADD	NS	True Leverage Alliance BJJ	Kingston	https://www.instagram.com/tla_bjj	ADD	IG bio (rendered): "True Leverage Alliance BJJ... 💪🏻 Classes for all ages & skill levels 📍 Melvern Square & Kentville, NS 🥋 Affiliated with @presleybjj." Address given on the page: 165 Bridge Street, Kingston, Nova Scotia B0P 1R0 - the B0P postal code confirms Annapolis Valley, NS (not Kingston, ON; not Kingston-upon-Thames, England). City to use is "Kingston" per this address; "North Alton" does not appear anywhere on the page.	https://www.instagram.com/tla_bjj
ADD	NS	The Tap Room Grappling Group	Middle Sackville	https://www.facebook.com/p/The-Tap-Room-Grappling-Group-61571256489758	ADD	FB body (rendered): "The Tap Room Grappling Group is a grappling gym specializing in wrestling-based techniques in submission grappling and Jiu Jitsu." Address: 55 Hanwell Dr, Middle Sackville, NS, Canada, B4E0H6.	https://www.facebook.com/p/The-Tap-Room-Grappling-Group-61571256489758
DROP	NS	12 Wing Brazilian Jiu-Jitsu	Eastern Passage / CFB Shearwater	(n/a - military base, public access not established)	NONE	IG bio (rendered): "12 Wing BJJ... Military Grapplers" - no statement of public/civilian access. Fallback article (tridentnewspaper.com, dated 2019-07-15, now roughly seven years old as of this pass) states the club "meets in the evenings... in the basement of the Shearwater Fitness and Sports Centre" (a base facility) and gives only a forces.gc.ca contact email for a coach who was, per the article itself, about to be posted away. The article never states that civilians without base access can train there. Per the rule that a base club is not a directory listing unless civilian access is explicit, and I could not establish that, the verdict is DROP.	https://tridentnewspaper.com/national-medals-12-wing-jiu-jitsu-club/
DROP	NS	Hero Grappling Club	CFB Halifax	(n/a - military base, public access not established)	NONE	FB body (rendered): "Be your own HERO. The military grappling program at CFB Halifax under the PSP Grappling initiative." Address: 2830 Admirals Way, B3K, Halifax, NS, Canada. Explicitly self-described as a military program on a Canadian Forces Base; no statement anywhere on the page of civilian/public access. Per the rule that a base club is not a directory listing unless civilian access is explicit, and I could not establish that, the verdict is DROP.	https://www.facebook.com/HERO.GRAPPLING/
UNVERIFIED-LOGIN-WALL	NS	Dragon Martial Arts Colchester	Kemptown	https://www.facebook.com/groups/1334535607184751	NONE	The group's outer shell rendered without a login prompt (name, "Public group," 25 members, creation date visible), but "About this group" carries no discipline description, and both the Discussion tab ("This Page Isn't Available") and Media tab (empty photo/video grid) returned no actual post content - Facebook is gating the substantive content behind group membership/login even though the group itself is marked "Public." I could not read any first-party statement of what art is taught. Third-party Google-indexed snippets (other members' own Facebook posts, not rendered by me) attribute BJJ instruction under "Matt Cashman/Chasman, a Royce Gracie brown belt," but per the method rules I cannot state that as verified since I did not read it myself on a rendered page.	https://www.facebook.com/groups/1334535607184751
ADD	NS	Cheticamp Martial Arts	Chéticamp	https://www.cheticampmartialarts.com/	ADD	IG bio (rendered): "Cheticamp Martial Arts... Brazilian Jiu-Jitsu 🥋 | Muay Thai 🥊 Programs for ages 3+ and Adults." Own website (cheticampmartialarts.com), rendered directly: "BJJ & MUAY THAI CLASSES IN CHETICAMP, NOVA SCOTIA" with a full "BRAZILIAN JIU JITSU CLASSES" section (Tiny Tigers, Junior Brazilian Jiu-Jitsu, Adult Brazilian Jiu-Jitsu). Flagging a city correction: the business's own copy repeatedly says "Chéticamp, NS," never "Petit Etang" (the stored city) - Petit Etang is a small neighbouring hamlet, but the school itself brands as Chéticamp.	https://www.instagram.com/cheticamp_martial_arts
ADD	PE	Montague BJJ	Montague	https://www.facebook.com/p/Montague-Brazilian-Jiu-Jitsu-100095212148270/	ADD	FB body (rendered): "Montague Brazilian Jiu Jitsu... Jiu jitsu and Muay Thai offered to all ages and experience levels. Come check us out!" Address: 3 rink street montague pei, Montague, PE, Canada, C0A 1R0. A linked news article on the same page is headlined "Montague dojo operator wins gold in Brazilian jiu-jitsu tournament" (peicanada.com), consistent with the FB text.	https://www.facebook.com/p/Montague-Brazilian-Jiu-Jitsu-100095212148270/
ADD	PE	Renzo Gracie PEI Lot 36	Charlottetown	https://www.facebook.com/p/Renzo-Gracie-PEI-Lot-36-100069410847003/	ADD	Business now trades as "Renzo Gracie PEI Lot 36," not literally "PEI Brazilian Jiu Jitsu." FB body (rendered): "We are a Brazilian Jiujitsu Club affiliated with Renzo Gracie Halifax. We offer BJJ, striking, wrest[ling]..." Address: Charlottetown, PE, Canada, C1B2Z2.	https://www.facebook.com/p/Renzo-Gracie-PEI-Lot-36-100069410847003/
ADD	TN	Chattanooga BJJ	Chattanooga	https://www.facebook.com/chattanoogajiujitsuacademy/	ADD	Stored URL chattanoogabjj.com is a dead GoDaddy parked page, rendered directly: "Welcome to chattanoogabjj.com. This domain is registered, but may still be available." The real, currently-operating school locally known as "Chattanooga BJJ" trades as "Chattanooga Jiu Jitsu Academy" - FB body (rendered): "Chattanooga Jiu-Jitsu Academy is Chattanooga's premier self-defense martial arts academy!" Address: 3829 Hixson Pike, Chattanooga, TN, United States, 37415-3563. Their own domain, chattanoogajiujitsu.com, was navigated to directly and redirects to this same Facebook page, confirming it as the operating entity's current web presence.	https://www.facebook.com/chattanoogajiujitsuacademy/
UNVERIFIED	TN	Kingsport BJJ	Kingsport	(dead/parked - see evidence)	NONE	Stored URL kingsportbjj.com resolves via DNS (dns.google Status 0, IP 208.91.197.27) but the rendered page is essentially blank apart from a consentmanager.net cookie-consent warning icon and several "Intentionally hidden, please ignore" honeypot elements - a pattern consistent with a parked/monetized expired domain, not an operating business site. facebook.com/kingsportbjj returned "This content isn't available right now." Searches surface several distinct, real Kingsport-area BJJ schools (Lockdown Jiu-Jitsu, Bushido Academy, Total Self Defense Academy/Team Rhino BJJ) but none is confirmed as the entity behind the stored "Kingsport BJJ" name/domain.	(none confirmed)
UNVERIFIED	TN	Murfreesboro BJJ	Murfreesboro	(dead/parked - see evidence)	NONE	Stored URL murfreesborobjj.com is a dead GoDaddy parked page, rendered directly (same "This domain is registered, but may still be available" template as chattanoogabjj.com and tribalbjj.com). Murfreesboro has multiple real, active, first-party-confirmable BJJ schools - Renzo Gracie Brazilian Jiu-Jitsu (instagram.com/rgmurfreesborobjj, rendered: "🥋 BJJ & Self Defense for Adults, Kids and Family," 1733 St Andrews Dr suite D, Murfreesboro, TN 37128) and Gracie Barra Murfreesboro (instagram.com/gbmurfreesboro, rendered: "Jiu Jitsu for everyone") - but I could not confirm which, if either, is the entity the stored "Murfreesboro BJJ" record refers to, and Gracie Barra is a large national franchise that may already have a Murfreesboro record elsewhere in the curated corpus, creating duplicate-name risk. Declining to guess rather than risk a wrong or duplicate ADD.	https://www.instagram.com/rgmurfreesborobjj ; https://www.instagram.com/gbmurfreesboro
ADD	TN	Alliance TN	Memphis	https://www.facebook.com/AllianceTNBJJ/	ADD	Stored domain alliancetnbjj.com is NXDOMAIN (dns.google Status 3 - conclusively does not exist). Its associated Facebook page, facebook.com/AllianceTNBJJ/, rendered directly and links back to alliancetnbjj.com, confirming the match: "Alliance TN... Tennessee Affiliate of the Alliance Brazilian Jiu-Jitsu Team." Address read: 144 Cumberland St, Memphis, TN, United States, 38112 - Memphis, NOT Nashville as stored. Flagging this as a city correction, not a region change (Memphis is still Tennessee).	https://www.facebook.com/AllianceTNBJJ/
UNVERIFIED	TN	Tri-Cities BJJ	Johnson City	(none confirmed)	NONE	No business trading literally as "Tri-Cities BJJ" could be found or rendered. Important trap caught and rejected: johnsoncityjiujitsu.com displays "Tri-Cities Premier Jiu Jitsu Academy!" and "Johnson City Jiu Jitsu" branding at the top of the page, but its own rendered body text, testimonials, and CONTACT block describe an entirely different business - "Ashburn Jiu Jitsu (AJJ)," run by "Mike Horihan" and "Jake Horihan," address 44340 Premier Plaza #210, Ashburn, VA 20147, phone 703-687-3072 - i.e. the page's city branding does not match its own body content, exactly the kind of body-vs-title mismatch the method rules warn about. Real, first-party-confirmable Tri-Cities-area BJJ businesses exist (Helio Soneca Brazilian Jiu Jitsu Tri-Cities, inside Team Oxendine, 508 W Oakland Ave, Johnson City TN; Tri Cities Jiu Jitsu Club on Instagram) but neither is named exactly "Tri-Cities BJJ."	https://johnsoncityjiujitsu.com/ (trap - flagged, not usable as evidence)
ADD	TN	Paris Gracie Jiu Jitsu Academy	Paris	https://www.facebook.com/parisgraciejiujitsuacademy/	ADD	Stored domain parisgraciejiujitsuacademy.com is unconfigured, rendered directly: "This is the default server vhost... This site's domain name is either not yet pointed or is still propagating." FB page rendered directly instead: "We are a Brazilian Jiu Jitsu academy focused on self defense in addition to offering competition opportunities. We are a Team Borras affiliate school... We are a Black Belt owned and operated facility," with a current weekly Gi/No-Gi/kids schedule posted. Address: 312 Tyson Avenue, Paris, TN, United States, 38242-4811.	https://www.facebook.com/parisgraciejiujitsuacademy/
